,Date,Temp,Wind,Precip,Pressure,Heat
461,2016-04-06,19.5,16,0.025,1019.75,25.75
462,2016-04-07,18.5,11.5,0.025,1021.75,23.5
463,2016-04-08,19.25,9,0,1020.5,25
464,2016-04-09,19.75,11.75,0,1020,25.75
465,2016-04-10,19.75,13.25,0.025,1019.25,25.75
466,2016-04-11,20.5,14.5,0,1019.75,24
467,2016-04-12,19.75,14,0.15,1021,24
468,2016-04-13,18.5,13.25,0.475,1020.5,21.25
469,2016-04-14,18.75,13.75,0.125,1015.75,24.25
470,2016-04-15,18.75,13.25,0.125,1016.25,23.75
471,2016-04-16,19,11.75,0.175,1017.75,24
472,2016-04-17,18.5,12.5,0.275,1018.25,23.75
473,2016-04-18,19,13.75,0.45,1017.5,24.25
474,2016-04-19,18.75,14.25,0.35,1017.75,23.25
475,2016-04-20,18.25,14.25,0.65,1017.5,23.25
476,2016-04-21,19.75,12.75,0.1,1021.75,26
477,2016-04-22,18.75,14.75,0.05,1021.5,24.25
478,2016-04-23,18.75,17.25,0.225,1021.5,22.75
479,2016-04-24,18.75,20,0.05,1022,24.25
480,2016-04-25,19.75,19.75,0.025,1022,24.25
481,2016-04-26,20.25,22.75,0.05,1020.5,23.75
482,2016-04-27,19.5,18.25,0.025,1018.75,23.25
483,2016-04-28,19.25,17,0.025,1018.5,23.75
484,2016-04-29,19.5,17.25,0.15,1016.5,23.25
485,2016-04-30,19.25,15.5,0.125,1016.5,23.5
486,2016-05-01,18,14.25,0.6,1016.25,22.75
487,2016-05-02,17.75,15.5,0,1015.25,22.25
488,2016-05-03,18.5,15.25,0.25,1012,23.5
489,2016-05-04,17.75,11.75,0.025,1015,22.5
490,2016-05-05,18.25,12,0,1015.75,23.75
491,2016-05-06,17.75,8.5,0,1014.25,24
492,2016-05-07,17.75,17,0,1014.25,23.5
493,2016-05-08,17.5,15.25,0.1,1012.5,21.75
494,2016-05-09,17.5,21.25,0.675,1008.5,20.5
495,2016-05-10,18,17.5,0,1015,23
496,2016-05-11,16.75,17.75,0,1017.25,21.5
497,2016-05-12,16.75,19.25,0.075,1016.25,22.25
498,2016-05-13,17,12.75,0,1019,22.5
499,2016-05-14,17.25,11.75,0,1019.5,23.25
500,2016-05-15,17.25,11.5,0,1017.5,22.75
501,2016-05-16,16.75,10.75,0,1018,23.25
502,2016-05-17,17.25,9.5,0,1018.25,22.5
